,bv_id,title,pubdate,author,view,like,danmaku
63,BV1sBQZBPE3G,"你的<em class=""keyword"">小米SU7</em>还没有激情下单？",2026-03-23,潼妮爱开车,5641,140,11
64,BV19MAcz2EFT,"体验新一代<em class=""keyword"">小米SU7</em>车机，智能化同级别无它！",2026-03-21,豫见车市,1349,19,7
65,BV1uPA7zsEAf,"新一代<em class=""keyword"">SU7</em> 还运动吗",2026-03-20,低转中年李伟龙,75784,5516,297
66,BV1GSAGzEEBV,"新 <em class=""keyword"">SU7</em>都更新了什么？",2026-03-20,春森同学在路上,73679,1320,340
67,BV1gPQoBBEzR,"雷军又来交车了！新一代<em class=""keyword"">小米SU7</em>开始交付！",2026-03-23,爆炒吗喽,26341,657,94
68,BV1KyAVzrEbK,"舒淇 x 苏炳添 <em class=""keyword"">小米SU7</em>最新广告",2026-03-20,4A广告提案网,14369,445,22
69,BV1LKAAzoEoY,"<em class=""keyword"">小米su7</em>充一次电能从北京跑到上海是真的吗？看完后发现油车续航也就那样了😂",2026-03-21,小迪的狸花咪TwT,44953,937,22
70,BV12oXcBmEn4,"<em class=""keyword"">小米汽车</em>的广告都是车主拍的。<em class=""keyword"">小米</em>首代<em class=""keyword"">su7</em> yu7双车主，断断续续耗时6天晚上，制作出新一代<em class=""keyword"">小米su7</em>宣传片",2026-03-24,长柯aa,2090,71,0
71,BV1z4QoBQE5q,"新款<em class=""keyword"">小米Su7</em>VS尚界Z7，谁才是最强新能源轿跑？",2026-03-23,后排声明Backtalk,2529,9,6
72,BV1T3AJztESu,"看看“<em class=""keyword"">小米</em>员工”试驾新<em class=""keyword"">SU7</em>怎么说",2026-03-20,Pinknoise_,2655,51,1
73,BV12iAuz8E7m,"第12集|新的<em class=""keyword"">SU7</em>发布了，我们来看看YU7车主如何面对<em class=""keyword"">小米</em>的舆论！",2026-03-22,直球车话,39902,677,39
74,BV1d2Q9B3EgQ,"3月23日深圳<em class=""keyword"">小米</em>总部，新一代<em class=""keyword"">su7</em>首批车主交付仪式！（中途网络多次故障！）",2026-03-23,大家车评论,11594,388,33
75,BV1uoAGzCEd1,"新一代<em class=""keyword"">小米SU7</em> 除了模样全变了",2026-03-20,莲石路车神,13702,102,20
76,BV1yZA7z7E5v,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>动态试驾，依旧是一代神车",2026-03-20,黎叔Talk,10547,90,4
77,BV1F8AJzLEzt,"<em class=""keyword"">小米汽车</em>工厂试驾<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>，没想到看到了YU9",2026-03-20,Jacky评车论道,8591,121,1
78,BV1CrAnzdEXC,"沉浸式体验｜新<em class=""keyword"">小米SU7</em> MAX 卡布里蓝",2026-03-20,小汪试车-沉浸式,34715,768,56
79,BV1uf421f7HV,"40分钟聊透<em class=""keyword"">小米SU7</em>",2024-03-29,韩路有点意思,624073,10130,4553
80,BV1dxfFBrEbB,"漂亮的“水桶”电车 | <em class=""keyword"">小米SU7</em>全方位体验",2026-02-22,今日下午茶,24744,276,28
81,BV1NkA3zNERC,"当我以用户视角，真实试驾全新一代<em class=""keyword"">小米SU7</em>...",2026-03-22,刘枫瑾,2319,51,0
82,BV1MQQBBXEse,"Yu7车主如何看待新<em class=""keyword"">小米su7</em>？预测一波yu7改款？",2026-03-24,音乐人开yu7-义律,1708,18,17
83,BV1AfwCzSEvt,"全网首发  购买推荐  2026款<em class=""keyword"">小米SU7</em>：值不值得买",2026-03-19,农民新八,161538,3308,732
84,BV1b4QZBrEx3,"2026新款换代<em class=""keyword"">小米SU7</em>整车速览",2026-03-23,EV观察员,299,5,0
85,BV1Ycw1zTEps,"新一代<em class=""keyword"">小米</em> <em class=""keyword"">SU7</em> 体验：能打败 <em class=""keyword"">SU7</em> 的，真的只有它自己！",2026-03-20,微机分WekiHome,109026,3657,643
86,BV1XT4y1s7R8,"<em class=""keyword"">小米汽车SU7</em>宣传片",2023-12-29,微-杂谈,4315,17,0
87,BV1AxAHzdE1Y,"26款<em class=""keyword"">小米su7</em>购买协议藏着哪些坑 1",2026-03-20,种水果的海狗,42627,1260,558
88,BV1Ymu7z2EPX,"没有配置优势，只剩机械素质，<em class=""keyword"">小米SU7</em>标准版详细测评",2025-07-12,学徒苟维川,277784,7961,1652
89,BV1dGwYzgEZD,"新一代<em class=""keyword"">SU7</em>和尚界Z7“贴脸”开打，<em class=""keyword"">小米</em>能否守住核心阵地？",2026-03-18,懂车帝视线,123636,2510,498
90,BV1Dq421c7Ux,"<em class=""keyword"">小米SU7</em>视频说明书，所有功能展示",2024-04-02,雅典娜吃包子,24820,195,1
91,BV1nMAFzZEhJ,"新一代<em class=""keyword"">小米SU7</em>选配攻略分享",2026-03-21,燊论,7540,117,15
92,BV1YkQBBfEoE,"新一代<em class=""keyword"">SU7</em>到底更新了啥？",2026-03-24,追求性能的熊导,2092,61,5
93,BV12EQBBLETP,"新一代 Xiaomi <em class=""keyword"">SU7</em> 标准款提车记录及电耗分享",2026-03-24,晚霞微风xx,9523,258,4
94,BV1Gcw1zTEb3,"全新一代<em class=""keyword"">小米su7</em>砂陶米内饰细节",2026-03-19,小米汽车浩仔,70678,977,18
95,BV1FV2MBzE7P,"卧槽！太炸裂！某 博主拆解<em class=""keyword"">小米SU7</em>，零件便宜金属不防锈？",2025-11-07,小瑶纪实,111548,1082,149
96,BV1Mx421S71B,"我服了！<em class=""keyword"">小米SU7</em>这续航也太……",2024-04-10,大鹏快开车,3242005,154384,13939
97,BV16tvdB5E7w,"德国百万粉大佬车评：这车1500多马力？中国那边颠覆我的认知 #中国 #<em class=""keyword"">小米</em> #<em class=""keyword"">小米汽车</em> #<em class=""keyword"">小米SU7</em> #<em class=""keyword"">汽车</em>知识",2026-01-02,自律的废狗,80763,571,93
98,BV12nAczBEXv,"新一代<em class=""keyword"">SU7</em>车机体验",2026-03-21,Dan视角,859,12,0
99,BV1MFwzzCE8U,"一条视频带你看完新款<em class=""keyword"">小米SU7</em>九款颜色",2026-03-19,小黑真不黑-,48431,659,23
100,BV1naAczwE8F,"【大虾沉浸式试车】流金粉！新一代<em class=""keyword"">小米SU7</em> 标准版👉快来快来～带你沉浸式体验！",2026-03-21,大虾试车真香,235136,4653,444
101,BV1LWAwzxETf,"「真话试驾」新一代<em class=""keyword"">SU7</em>无敌了？我发现一些不对劲的地方",2026-03-21,满电阿远,16265,569,184
102,BV1K6AnztEJM,"新款<em class=""keyword"">小米SU7</em>标准版，抢先试驾体验。",2026-03-20,边开边聊,33313,444,21
103,BV1bsfoYFEWF,"雷军介绍<em class=""keyword"">小米汽车SU7</em>璀璨洋红色",2025-01-25,小星摸鱼冠军,101123,1142,191
104,BV1x6XwBEEp1,"感受下新 <em class=""keyword"">SU7</em> 车内氛围…",2026-03-24,吕亮车生活,1526,27,0
105,BV1XdwJzYEQ5,"你看新一代<em class=""keyword"">SU7</em> 靛石绿这个车漆真的很好看啊。#我和我的<em class=""keyword"">小米汽车</em>",2026-03-13,嗷嗷Ultra,4950,135,1
106,BV1cdAwzeEYY,"新一代<em class=""keyword"">SU7</em> Max能有多猛？！",2026-03-21,杨慢慢追风逐日,470543,12170,288
107,BV19qLtzREAY,"开了3000公里，为什么<em class=""keyword"">小米Su7</em> Ultra让我越开越后悔？【涛哥测评】",2025-04-23,涛哥测评,891367,16337,4012
108,BV1Dw4m127ej,"<em class=""keyword"">小米</em>三年就造出这么个<em class=""keyword"">SU7</em>？",2024-04-23,铁秀IRONSHOW,3427834,150150,20554
109,BV138AnzNEWs,"<em class=""keyword"">小米</em>新<em class=""keyword"">SU7</em>更智能了，但小爱同学成雷军黑子了？",2026-03-20,HiEV大蒜粒车研所,18754,155,6
110,BV1NdofYfEyk,"开<em class=""keyword"">小米SU7</em>沉浸式下班",2025-04-02,超大杯柠檬,507917,6009,1376
111,BV13cA7z4EL2,"怎么劝都拦不住，到底为啥有人非要买新一代<em class=""keyword"">小米SU7</em>？",2026-03-20,X科技实验室,377338,3259,243
112,BV1LvASzWEKM,"12.98的<em class=""keyword"">小米SU7</em>真是挑不出一点毛病啊",2026-02-27,大褂说车,101076,463,52
113,BV1TBAFzMExq,"新一代<em class=""keyword"">小米SU7</em> MAX 试乘体验",2026-03-21,布软达爱雪雯,2764,38,2
114,BV1oCQ9BVEDo,"雷军给新一代<em class=""keyword"">su7</em>首批8位车主开车门！",2026-03-23,大家车评论,36014,1108,149
115,BV1SxwyzcEjE,"【<em class=""keyword"">小米汽车</em>】新一代 <em class=""keyword"">SU7</em> - <em class=""keyword"">小米</em>春季新品发布会",2026-03-19,正在录像,8925,70,43
116,BV1DH4y1T7eT,"<em class=""keyword"">小米SU7</em>沉浸式提车体验",2024-04-10,螃蟹智造,638217,2664,398
117,BV1Cw4m1U7kS,"为了1/4螺口买<em class=""keyword"">小米SU7</em>，开了一个月，它值吗？",2024-05-24,影视飓风,3296666,207314,10583
118,BV1bHA5zLEXC,"拆新一代<em class=""keyword"">小米SU7</em>门把手 符合新国标#新一代<em class=""keyword"">SU7</em>",2026-03-20,涛哥爱拆机,8516,138,3
119,BV1J1AjzqE3b,"不听劝你就买<em class=""keyword"">Su7</em>，包你后悔一辈子",2026-03-20,聪明的刚子,105864,692,66
120,BV1hf421Z7sW,"「花生」<em class=""keyword"">小米SU7</em>动态+座舱体验：这将是<em class=""keyword"">小米汽车</em>的护城河",2024-03-29,花生説,363494,11245,3866
121,BV16sFHz1Ej6,"新一代<em class=""keyword"">小米su7</em> 挑战崇礼漂移 。",2026-02-07,大家车评论,78330,2811,238
122,BV11CAVz3EfY,"全新<em class=""keyword"">小米SU7</em>内饰细节大揭秘",2026-03-19,布软达爱雪雯,13895,184,10
123,BV1WhA5zuEJR,"新<em class=""keyword"">SU7</em>为什么不改外观？雷军：我们想让<em class=""keyword"">SU7</em>成为一代传奇，成功车型外观改造一定要小心#雷军 #新<em class=""keyword"">SU7</em> #<em class=""keyword"">小米汽车</em> #电动车",2026-03-20,商业科技圈,24466,503,7
124,BV1CZALzzEFA,"英国小伙开全新<em class=""keyword"">小米SU7</em>: 外形像保时捷，但谁在乎，当它开得像神一样！",2026-03-20,叔叔有大胡子,38292,911,143
125,BV1QBQoB5Ek4,"<em class=""keyword"">小米su7</em>天塌了！尚界Z7起售价干到了22.98万元，配置还比<em class=""keyword"">小米su7</em>更强，正式售价估计是21.98万元，直接正面硬刚<em class=""keyword"">小米su7</em>，搭载华为896线激光雷达",2026-03-23,菊厂的汽车世界,112327,541,73
